period,window,set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
pre1950,WY1922–1949,11obs,AMF,11obs,unimp,336,0.9367081532373152,0.9319488032425388,0.05878582277766303,0.965555222109134,196.29794625391497,196.18261868737284,0.04799996741147132,6.451169309542606,6.520783595064438,-0.06961428552183246
pre1950,WY1922–1949,11obs,AMF,vic,unimp,336,0.8908824816702472,0.8514376277378537,5.059542249699164,0.9338151985228538,206.10856116642668,196.18261868737284,0.09149166219223057,6.230236944742702,6.520783595064438,-0.290546650321736
pre1950,WY1922–1949,11obs,BLB,11obs,inflow_sum,336,0.9230650756326114,0.8894533724192639,1.952491466027541,0.9432139395916226,29.722853083796757,29.15363092789249,0.050944627746388256,5.047294313354201,5.39661938262713,-0.34932506927292906
pre1950,WY1922–1949,11obs,BLB,vic,inflow_sum,336,0.6186193643252946,0.7661036544191594,27.330863498279566,0.9436090554127543,37.121570001587,29.15363092789249,0.05909477509752085,5.193702014076854,5.39661938262713,-0.20291736855027587
pre1950,WY1922–1949,11obs,BND,11obs,unimp,336,0.8787479639843868,0.89235818110302,-9.933930683987304,0.9511119096899949,530.9025680511688,589.4590183439709,0.024273354097519385,5.803593891076446,5.9934636055770625,-0.18986971450061674
pre1950,WY1922–1949,11obs,BND,vic,unimp,336,0.8489303292901452,0.8843224027626482,-14.296760777622122,0.9542214739851396,505.18547260921366,589.4590183439709,0.030859536784180387,5.9669563611981955,5.9934636055770625,-0.02650724437886698
pre1950,WY1922–1949,11obs,FTO,11obs,unimp,336,0.8954205419479082,0.9017799068198252,-7.982387825871503,0.9529201581455605,291.5013886243283,316.78869048754376,0.0336251960716482,6.144502361936426,6.343253004496996,-0.1987506425605705
pre1950,WY1922–1949,11obs,FTO,vic,unimp,336,0.8400544811696761,0.8597721082273824,5.727245895121229,0.9485425427363556,334.9319577596999,316.78869048754376,0.07752046331604444,6.035323634315612,6.343253004496996,-0.3079293701813848
pre1950,WY1922–1949,11obs,MRC,11obs,unimp,336,0.8745383997299021,0.9042486538229283,10.998144494618543,0.9588309974583454,82.72467085083167,74.5279763256244,0.04554026319614261,6.968809591989009,7.095174863394848,-0.12636527140583897
pre1950,WY1922–1949,11obs,MRC,vic,unimp,336,0.6101764903150897,0.7441007310668755,27.061457423945036,0.9480799788383042,94.69633290791108,74.5279763256244,0.055670967829306806,6.90996080437081,7.095174863394848,-0.1852140590240383
pre1950,WY1922–1949,11obs,SHA,11obs,unimp,336,0.8194243826827489,0.8136145060418914,-15.035818903634343,0.9237484206747173,344.2313682335791,405.1488095238095,0.037697384784509215,5.822069915866133,6.091394853354002,-0.2693249374878688
pre1950,WY1922–1949,11obs,SHA,vic,unimp,336,0.8822501982044174,0.8695244563974361,-8.794317188356127,0.9462088962947902,369.51873812943694,405.1488095238095,0.030072279993801052,6.094528237301979,6.091394853354002,0.003133383947977464
pre1950,WY1922–1949,11obs,SJF,11obs,unimp,336,0.7939392082720106,0.906915533051811,17.949051451455958,0.9715461640678326,155.62457594792545,131.9422021905581,0.04228807793780942,7.34892041595629,7.506335761695487,-0.1574153457391967
pre1950,WY1922–1949,11obs,SJF,vic,unimp,336,0.6153602551101637,0.7205691933381022,14.732910413803154,0.9475951049557311,151.38112863729208,131.9422021905581,0.07520397673335777,7.359561272328892,7.506335761695487,-0.14677448936659498
pre1950,WY1922–1949,11obs,SNS,11obs,unimp,336,0.9229374575949552,0.8622960473931847,3.1338533728094755,0.9306884539003194,86.95113872972864,84.30901773389252,0.0626870888575641,7.027819939923965,7.087811057896956,-0.059991117972990615
pre1950,WY1922–1949,11obs,SNS,vic,unimp,336,0.6572689207876166,0.6823453651827851,24.737952569636196,0.9053526633226667,105.16534255282902,84.30901773389252,0.0900529645269961,7.266364597147624,7.087811057896956,0.17855353925066808
pre1950,WY1922–1949,11obs,TLG,11obs,unimp,336,0.8093597492218058,0.8780556292337338,16.236924245422543,0.9565909126340078,163.5443143474493,140.69910693966918,0.0635216869606662,7.220668257614789,7.155336192579162,0.06533206503562727
pre1950,WY1922–1949,11obs,TLG,vic,unimp,336,0.6592222094940072,0.7766156904167837,16.985445950665113,0.9546693262670827,164.59747770197518,140.69910693966918,0.03607828222009124,7.2629644778674605,7.155336192579162,0.10762828528829882
pre1950,WY1922–1949,11obs,TNL,11obs,unimp,336,0.3936380006931348,0.25764281250982446,38.19863672954536,0.8550349063126922,118.36425308840167,85.6479165710154,0.10506057342406822,6.378688713672167,6.393548010643799,-0.014859296971631686
pre1950,WY1922–1949,11obs,TNL,vic,unimp,336,0.12832451263931877,-0.3657318362285986,42.45877446236848,0.8060854883233245,122.01297229962036,85.6479165710154,0.16654183321272933,5.794015876466979,6.393548010643799,-0.5995321341768198
pre1950,WY1922–1949,11obs,YRS,11obs,unimp,336,0.9419750221570743,0.9147805927140386,-2.864753123714641,0.9569499916197235,167.48715514227595,172.42675602152235,0.046036348489825366,6.219897407314557,6.387678676084946,-0.16778126877038968
pre1950,WY1922–1949,11obs,YRS,vic,unimp,336,0.896184353228503,0.8501744179268345,-1.1927544232263796,0.9334954278992355,170.37012826224986,172.42675602152235,0.09156178221784907,6.111427375335387,6.387678676084946,-0.2762513007495597
pre1950,WY1922–1949,15cdec,BND,15cdec,unimp,336,0.6318380237529428,0.7753869872789412,-35.22808204845601,0.966512231750628,381.80391171973343,589.4590183439709,0.08966404878413411,5.768934212251227,5.9934636055770625,-0.22452939332583544
pre1950,WY1922–1949,15cdec,BND,vic,unimp,336,0.8489303292901452,0.8843224027626482,-14.296760777622122,0.9542214739851396,505.18547260921366,589.4590183439709,0.030859536784180387,5.9669563611981955,5.9934636055770625,-0.02650724437886698
pre1950,WY1922–1949,15cdec,FOL,15cdec,unimp,336,0.8731634920822335,0.8496148359700073,-4.7893454728835,0.922735500736438,186.78675532068485,196.18261868737284,0.11130215577425615,6.203012264838397,6.520783595064438,-0.31777133022604165
pre1950,WY1922–1949,15cdec,FOL,vic,unimp,336,0.8908824816702472,0.8514376277378537,5.059542249699164,0.9338151985228538,206.10856116642668,196.18261868737284,0.09149166219223057,6.230236944742702,6.520783595064438,-0.290546650321736
pre1950,WY1922–1949,15cdec,MIL,15cdec,unimp,336,0.8978503354335189,0.9043267930794721,4.621731362612191,0.9595005308917955,138.04021632972032,131.9422021905581,0.05103024418395617,7.622320668357227,7.506335761695487,0.11598490666173955
pre1950,WY1922–1949,15cdec,MIL,vic,unimp,336,0.6153602551101637,0.7205691933381022,14.732910413803154,0.9475951049557311,151.38112863729208,131.9422021905581,0.07520397673335777,7.359561272328892,7.506335761695487,-0.14677448936659498
